id,date,season_id,year,month,is_holiday,weekday,is_workingday,weather_condition,temperature,feels_like_temp,humidity,wind_speed,total_users
577,31-07-2019,3,1,7,0,2,1,1,29.246653,33.1448,70.4167,11.083475,7216
427,03-03-2019,1,1,3,0,6,0,2,16.980847,20.6746,62.125,10.792293,4066
729,30-12-2019,1,1,12,0,0,0,1,10.489153,11.585,48.3333,23.500518,1796
483,28-04-2019,2,1,4,0,6,0,2,15.443347,18.8752,48.9583,8.708325,4220
112,22-04-2018,2,0,4,0,5,1,2,13.803347,16.0977,72.9583,14.707907,1683
581,04-08-2019,3,1,8,0,6,0,1,32.526653,37.56335,61.3333,17.249686,6824
501,16-05-2019,2,1,5,0,3,1,1,26.103347,29.79875,69.7917,8.208304,7424
480,25-04-2019,2,1,4,0,3,1,1,19.543347,23.51585,42.7917,7.959064,6196
473,18-04-2019,2,1,4,0,3,1,2,18.996653,22.8519,56.9167,11.250104,4367
456,01-04-2019,2,1,4,0,0,0,2,17.459153,20.86435,67.625,11.541889,6041
637,29-09-2019,4,1,9,0,6,0,1,22.2425,26.5148,54.2917,15.249468,8555
225,13-08-2018,3,0,8,0,6,0,2,28.119153,32.2929,72.9583,14.167418,4150
459,04-04-2019,2,1,4,0,3,1,1,22.208347,26.6725,46.9583,12.125325,6436
245,02-09-2018,3,0,9,0,5,1,2,26.376653,30.2404,72.7083,9.375243,4727
628,20-09-2019,3,1,9,0,4,1,1,22.413347,26.6096,61.8333,7.917189,7720
596,19-08-2019,3,1,8,0,0,0,2,26.069153,30.1777,71.1667,5.79215,4549
141,21-05-2018,2,0,5,0,6,0,1,24.7025,28.59875,62.6667,8.08355,5805
455,31-03-2019,2,1,3,0,6,0,2,17.390847,21.0854,73.8333,16.791339,6235
163,12-06-2018,2,0,6,0,0,0,1,28.3925,32.16625,74.7917,10.958989,4460
232,20-08-2018,3,0,8,0,6,0,1,28.5975,32.4498,67.4167,6.999289,5191
689,20-11-2019,4,1,11,0,2,1,2,15.340847,19.03335,68.5,5.542575,5634
660,22-10-2019,4,1,10,0,1,1,1,19.9875,24.1471,56.8333,5.4593811,7058
697,28-11-2019,4,1,11,0,3,1,1,12.163347,14.4881,50.625,14.125007,5260
321,17-11-2018,4,0,11,0,4,1,2,14.008347,16.16105,57.5833,20.459254,3053
535,19-06-2019,2,1,6,0,2,1,1,28.221653,32.7346,69.0,9.917139,6825
137,17-05-2018,2,0,5,0,2,1,2,23.028347,26.92645,83.7917,18.582718,4123
569,23-07-2019,3,1,7,0,1,1,1,30.408347,34.50085,69.4167,9.291761,6966
475,20-04-2019,2,1,4,0,5,1,1,21.593347,25.78875,69.4583,10.041357,7290
207,26-07-2018,3,0,7,0,2,1,1,31.638347,34.84895,54.0833,13.417286,4590
428,04-03-2019,1,1,3,0,0,0,1,13.359153,15.15105,40.3333,22.416257,3423
289,16-10-2018,4,0,10,0,0,0,1,20.978347,25.1577,48.6667,18.875039,5041
448,24-03-2019,2,1,3,0,6,0,2,20.6025,24.33665,88.5417,12.916461,3372
260,17-09-2018,3,0,9,0,6,0,2,20.158347,23.9256,71.8333,12.708225,4511
175,24-06-2018,3,0,6,0,5,1,1,29.690847,32.82915,57.3333,14.875675,4991
268,25-09-2018,4,0,9,0,0,0,2,26.000847,28.63185,84.5,3.3754064,5010
328,24-11-2018,4,0,11,1,4,0,1,15.306653,18.62355,54.9167,11.209368,1495
403,07-02-2019,1,1,2,0,2,1,1,14.520847,18.0552,49.625,9.874393,4375
